Longitude,Latitude,RegistrationNumber,Year,Decade,Binomial,TypeStatus,Continent,Country,Locality,Extent (m),Certainty,Type,NOTES,
,,1841.944,,,Manis crassicaudata,skin,,,,,,,,
83.938548,28.253008,43.1.12.85,,,Manis pentadactyla,type,Asia,Nepal,Pokhara,467050,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
-1.312712,14.492996,43.2.23.2,,,Phataginus tricuspis,type,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
,,44.10.5.1,,,Smutsia temminckii,skin,,,,,,,,
83.938548,28.253008,45.1.12.462,,,Manis pentadactyla,skeleton,Asia,Nepal,Pokhara,467050,100,2.1,No additional information on skull (same reg). Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
-1.312712,14.492996,46.5.13.18,,,Phataginus tricuspis,type,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
88.44133,27.463487,48.6.11.7,,,Manis pentadactyla,skin,Asia,India,Sikkim,74410,100,2.2,"TagÂ says ""Sikim"". Coordinates for place name on Google Maps and extent to marked boundary. Large area, mostly rural.",
-1.312712,14.492996,48.7.11.5,,,Phataginus tricuspis,spirit,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
,,50.7.24.2,,,Manis crassicaudata,skeleton,,,,,,,,
11.789481,-0.603607,51.11.6.2,,,Phataginus tricuspis,skin,Africa,Gabon,Melagni,381240,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
24.071906,-30.84085,52.3.24.2,,,Smutsia temminckii,skin,Africa,South Africa,De Werf,1184880,50,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country. Lower certainty because of the possibility that tag refers to southern region of Africa and not the country South Africa.,
79.616202,22.883478,57.1.22.8,,,Manis pentadactyla,skin,Asia,India,Khursipar,1677150,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
88.44133,27.463487,58.6.24.34,,,Manis pentadactyla,skin,Asia,India,Sikkim,74410,100,2.2,"TagÂ says ""Sikim"". No additional information on matching skeleton tag (58.6.24.169).Â Coordinates for place name on Google Maps and extent to marked boundary. Large area, mostly rural.",
88.44133,27.463487,58.6.24.35,,,Manis pentadactyla,skin,Asia,India,Sikkim,74410,100,2.2,"TagÂ says ""Sikim"". No additional information on matching skeleton tag (58.6.24.166).Â Coordinates for place name on Google Maps and extent to marked boundary. Large area, mostly rural.",
,,59.6.17.1,,,Phataginus tetradactyla,skeleton,,,,,,,,
-1.312712,14.492996,63.2.13.23,,,Phataginus tetradactyla,skeleton,Africa,W. Africa,Sahel Region,1955820,75,2.2,"No locality on tag but register suggests specimens 63.2.13.11 to 63.2.13.23 come from W. Africa, purchased off W. Dalton. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).",
-1.312712,14.492996,64.12.1.10,,,Phataginus tetradactyla,skin,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
-1.312712,14.492996,65.3.30.3,,,Smutsia gigantea,type,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
8.744944,3.620736,65.3.30.9,,,Phataginus tricuspis,spirit,Africa,Equatorial Guinea,Bioko,50400,100,2.4,"Tag says ""Fernando Po"" which is the island of Bioko, according to Wikipedia [https://en.wikipedia.org/wiki/Bioko].Â Centre is place name on Google Maps and extent to edge of the island.",
,,65.5.12.1,,,Smutsia gigantea,skeleton,,,,,,,,
,,67.4.12.298,,,Manis javanica,skull,,,,,,,,
-1.312712,14.492996,67.5.31.3,,,Phataginus tetradactyla,spirit,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
-1.241613,5.104267,69.5.13.5,,,Smutsia gigantea,skin,Africa,Ghana,Cape Coast Castle,8090,50,2.3,"Tag says ""Cape Coast Castle"" which was a building used in the trans-Atlantic slave trade, so could beÂ where specimen was exported from. No additional information on skeleton (same reg). Coordinates for castle and extent is toÂ furthest marked boundaryÂ of city.",
109.657271,19.164059,72.11.13.1,1868,1860,Manis pentadactyla,skin,Asia,China,Hainan,167980,100,2.4,Coordinates for place name on Google Maps and extent to edge of island.,
121.053049,23.387985,72.11.13.2,,,Manis pentadactyla,skin,Asia,Taiwan,Yushan National Park,218300,100,2.2,"TagÂ says ""S.W. Formosa which is the old name for Taiwan according to Wikipedia [https://en.wikipedia.org/wiki/Republic_of_Formosa]. Skull (728.k) gives no more locality information. Not clear what region the south west is so coordinates are for Taiwai place name on Google Maps and extent is to island edge.",
121.053049,23.387985,72.11.13.3,,,Manis pentadactyla,skin,Asia,Taiwan,Yushan National Park,218300,100,2.2,"TagÂ says ""S.W. Formosa which is the old name for Taiwan according to Wikipedia [https://en.wikipedia.org/wiki/Republic_of_Formosa]. Not clear what region the south west is so coordinates are for Taiwai place name on Google Maps and extent is to island edge.",
118.084287,24.485319,72.11.13.4,1867,1860,Manis pentadactyla,skin,Asia,China,Xiamen,46930,50,2.3,"Tag says ""Amoy"" which is the old name for Xiamen. Skeleton (728.l.) gives no more locality information.Â Coordinates for place name on Google Maps and extent to boundaries. Large city with rural areas but is also a port which was used by the British.",
118.084287,24.485319,72.11.13.5,,,Manis pentadactyla,skin,Asia,China,Xiamen,46930,50,2.3,"Tag says ""Amoy"" which is the old name for Xiamen. Skeleton (728.n) gives no more locality information.Â Coordinates for place name on Google Maps and extent to boundaries. Large city with rural areas but is also a port which was used by the British.",
118.084287,24.485319,72.11.13.6,,,Manis pentadactyla,skin,Asia,China,Xiamen,46930,50,2.3,"Tag says ""Amoy"" which is the old name for Xiamen. Skeleton (728.m) and skull (728.m.) give no more locality information. Coordinates for place name on Google Maps and extent to boundaries. Large city with rural areas but is also a port which was used by the British.",
118.084287,24.485319,72.11.13.7,1867,1860,Manis pentadactyla,skin,Asia,China,Xiamen,46930,50,2.3,"TagÂ says ""Amoy"" which is the old name for Xiamen. Coordinates for place name on Google Maps and extent to boundaries.Â Large city with rural areas but is also a port which was used by the British.",
109.657271,19.164059,72.11.13.8,1868,1860,Manis pentadactyla,skin,Asia,China,Hainan,167980,100,2.4,Coordinates for place name on Google Maps and extent to edge of island.,
80.63385,7.290626,77.3.14.8,,,Manis pentadactyla,skin,Asia,Sri Lanka,Kandy,5630,50,2.3,Skull (77.3.14.8) gives no more locality information. Coordinates for place name on Google Maps and extent to furthest edge of marked boundary. Large city surrounded by rainforest and mountains so possibility specimen could be sourced from outside this area.,
105.269925,12.332395,78.6.17.14,,,Manis javanica,skin,Asia,Cambodia,Chamkar Leu,421250,100,4,"Tag says ""Camboja or Cochin"" and register says ""Cochin, China"". Region of Cochinchina found on WikipediaÂ [https://en.wikipedia.org/wiki/Cochinchina] and is directly below Cambodia. Coordinates for approximate centre of Cochinchina and Cambodia combined and extent to furthest edge of either region (in this case it was in Cochinchina).Â Both areas combined together to increase the certainty.",
,,78.7.16.1,,,Phataginus tricuspis,skin,,,,,,,,
114.532113,1.065655,79.8.30.9,,,Manis javanica,skin,Asia,Borneo,Long Pahangai,722820,100,2.4,Skull (79.8.30.9) gives no more locality information. Coordinates for place marked when Borneo is searched in Google Maps and extent to furthest edge of island.,
89.240923,23.813435,79.11.21.646,,,Manis pentadactyla,skin,Asia,Bangladesh,Kushtia District,477630,100,2.1,"Tag says ""Bengal"" which according to Wikipedia [https://en.wikipedia.org/wiki/Bengal] could include Bangladesh. Coordinates for approximate centre of area shown on Wikipedia and calculated on Google Maps. extent is to furthest boundary edge as implied by Wikipedia.",
110.692296,-7.543747,79.11.21.647,,,Manis javanica,skin,Asia,Indonesia,Java,594960,100,2.4,Coordinate for place marked when Java is searched in Google Maps and extent to furthest edge of island.,
110.692296,-7.543747,79.11.21.648,,,Manis javanica,skin,Asia,Indonesia,Java,594960,100,2.4,Coordinate for place marked when Java is searched in Google Maps and extent to furthest edge of island.,
106.665495,-6.216249,79.11.21.649,,,Manis javanica,skin,Asia,Indonesia,Pinang,4090,25,2.3,"Pinang is a district ofÂ Tangerang City in Java, found on Google maps. Coordinates ofÂ approximate centre and extent to furthest marked boundary. Could also be Penang (state in Malaysia)Â but other specimen with similar registration number is from Java. Possibility specimen was sourced from outside this area and brought into the city so low certainty with coordinates and extent.",
106.665495,-6.216249,79.11.21.650,,,Manis javanica,skin,Asia,Indonesia,Pinang,4090,25,2.3,"Pinang is a district ofÂ Tangerang City in Java, found on Google maps. Coordinates ofÂ approximate centre and extent to furthest marked boundary. Could also be Penang (state in Malaysia)Â but other specimen with similar registration number is from Java. Possibility specimen was sourced from outside this area and brought into the city so low certainty with coordinates and extent.",
88.262101,27.036429,79.11.21.651,,,Manis pentadactyla,skin,Asia,India,Darjeeling,5110,25,2.3,"Coordinates for place name on Google Maps and extent to furthest marked boundary. Smallish town with rural surroundings so specimen could be from near, but not inside, this area.",
,,79.11.21.652,,,Manis javanica,skin,,,,,,,,
105.269925,12.332395,81.6.30.5,,,Manis javanica,skin,Asia,Cambodia,Chamkar Leu,421250,100,4,"Tag says ""Cochin, China"". Region of Cochinchina found on WikipediaÂ [https://en.wikipedia.org/wiki/Cochinchina] and is directly below Cambodia. Coordinates for approximate centre of Cochinchina and Cambodia combined and extent to furthest edge of either region (in this case it was in Cochinchina).Â Both areas combined together to increase the certainty.",
100.728449,-0.738211,82.7.24.5,,,Manis javanica,skin,Asia,Indonesia,West Sumatra,201380,75,2.2,"Tag says ""West Coast of Sumatra"" whichÂ is likely toÂ be theÂ province of West Sumatra which has a history of Europeans coming to the region [https://en.wikipedia.org/wiki/West_Sumatra#History]. Coordinates for place name of West Sumatra on Google Maps and extent to furthest marked boundary.",
98.592981,10.149159,85.8.1.366,1875,1870,Manis javanica,skin,Asia,Myanmar,Bankachon,794,25,2.3,"TagÂ says ""Bankasun, Tenasserim"". Entry foundÂ in [https://archive.org/stream/proceedingsofgen86zool/proceedingsofgen86zool_djvu.txt]Â showing a ManisÂ javanicaÂ specimen from Bankasun,Â southÂ Tenasserim.Â Bankachon foundÂ on Google Maps in South Tenasserim.Â Coordinates for place name on Google Maps and extent to furthest marked boundary. Small settlement so possibilityÂ specimen could be from outside these boundaries.",
33.069709,15.030151,87.12.1.103,,,Phataginus tricuspis,skin,Africa,Sudan,Makraka,2950,75,2.3,"Tag says ""Kabajendi, Makraka"" but Kabajendi could not be found. Coordinates of Makraka place name on Google Maps and extent is half the distance to nearest settlement of comparable size (Banat) as no clear marked boundary.",
,,87.12.1.104,,,Phataginus tricuspis,skin,,,,,,,,
37.495715,-5.993804,90.6.8.35,,,Smutsia temminckii,skin,Africa,Tanzania,Nguru Mountains,73150,25,2.6,"TagÂ says ""Mandua, E. Africa"" although difficult to read. Register has a specimenÂ on same page as this oneÂ from Monda, Nguru Montains which is located in East Africa. Coordinates for location marked by Google Maps when Nguru Mountains is searched. Extent to furthest point in the mountain range although there is a mountain range next to this one so not sure where the boundary is. Deliberatly overestimated boundary of Nguru Mountains to increase certainty.",
36.354288,-13.16885,92.8.1.67,,,Smutsia temminckii,skull,Africa,Mozambique,Niassa,301440,50,2.2,"Tag says ""Nyassa"" which could either be Niassa province in MozambiqueÂ or Nyasaland (the old name for Malawi) [https://en.wikipedia.org/wiki/Nyasa]. Niassa province was chosen for coordinates as the spelling is most similar, but certainty set at 50%. Coordinates for approximate centre of province and extent to furthest edge of marked boundary in Google Maps.",
78.222716,11.849062,91.1.31.1,,,Manis pentadactyla,skin,Asia,India,Shevaroy Hills,16700,50,2.2,Coordinates for Google Maps marker on Shevaroy Hills. Extent is to the light green boundary as actual boundaries unclear.,
114.149957,3.333461,92.9.4.12,1892,1890,Manis javanica,skin,Asia,Malaysia,Mount Dulit,54830,75,2.6,"Coordinates for Google Maps marker of Mount Dulit. Edges of mountain range unclear, but tag says 2000' (609m) so extent set to furthest point of this altitude.",
35.333654,-15.376015,93.7.9.18,,,Smutsia temminckii,skin,Africa,Malawi,Zomba,11440,75,2.3,No additional locality information given on tags of skull (same reg) and skeleton (same reg).Â Zomba is in Malawi which used to be called Nyasaland [https://en.wikipedia.org/wiki/Nyasa]. Coordinates for place name on Google Maps. City with rural areas but is next toÂ Zomba Nature Reserve so extent is to furthest edge of the nature reserveÂ for higher certainty.,
8.339903,4.976002,95.7.17.1,,,Phataginus tricuspis,spirit,Africa,Nigeria,Calabar,7450,25,2.3,"Label says ""Old Calabar"" which occupied the modern city of CalabarÂ [https://en.wikipedia.org/wiki/Akwa_Akpa].Â Coordinates for place name on Google Maps and extent to furthest edge of boundary. Calabar was used as a port for slave trade so possibility specimen could be sourced from outside the area and exported from Calabar.",
24.071906,-30.84085,96.1.10.1,,,Smutsia temminckii,skin,Africa,South Africa,De Werf,1184880,50,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country. Lower certainty because of the possibility that tag refers to southern region of Africa and not the country South Africa.,
24.071906,-30.84085,97.3.11.1,,,Smutsia temminckii,skin,Africa,South Africa,De Werf,1184880,50,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country. Lower certainty because of the possibility that tag refers to southern region of Africa and not the country South Africa.,
100.399999,6.13551,98.8.3.6,1898,1890,Manis javanica,skin,Asia,Malaysia,Kedah,118900,100,2.2,"Skull (same reg) says ""Kedah, Thailand"". Kedah was part of Siam (the old name for Thailand) until around 1948, although changed hands on many occassions during this time [https://en.wikipedia.org/wiki/Kedah#Incorporation_into_Malaya]. Coordinates for place name on Google Maps and extent to furthest edge of marked boundary.",
98.9474,18.809806,98.10.5.48,1898,1890,Manis javanica,skin,Asia,Thailand,Ciang Mai Zoo,1080,0,2.8,"TagÂ says ""Doi Stritepe, Chiengmai, Siam, 400m"".Â Siam is the old name for Thailand. Doi Suthep is a mountain in ThailandÂ [https://archive.org/stream/studyofdiurnalsq48moor/studyofdiurnalsq48moor_djvu.txt]. Chieng Mai is a Zoo atÂ 400m altitude next to Doi Suthep.Â No additional localityÂ information on skull (same reg).Â Location is for the approximate centre of the zoo and extent to furthest boundary (up to 500m). Specimen must be from outside the zoo as it says on the tag ""found in stump of hollow tree"" but no real evidence of it being from the local mountain rangeÂ because of the altitudeÂ so extent not marked here.",
100.757899,18.787118,98.10.5.49,1897,1890,Manis javanica,skin,Asia,Thailand,Nan,103660,100,2.2,"TagÂ says ""Siam"" which is the old name for Thailand. Coordinates for place name on Google Maps and extent to furthest edge of marked bounaries. Large area so high certainty.",
102.087367,12.613618,98.10.21.5,1879,1870,Manis javanica,spirit,Asia,Thailand,Chanthaburi,81390,75,2.2,"Tag says ""Chantabom/Chantabun, Thailand"" which could be theÂ province Chanthaburi in Thailand according to [https://geographic.org/geographic_names/name.php?uni=-4602052&fid=6094&c=thailand]. Coordinates for place name on Google Maps and extent to furthest edge of marked boundary. Large area so high certainty.",
34.307233,-13.215803,1.4.27.12,1901,1900,Smutsia temminckii,skin,Africa,Malawi,Mkaika,442750,75,2.1,"Tag says ""Nyasaland"" which is the old name for Malawi. There is also a Nyasaland settlement in the Congo, although Malawi was chosen for coordinates due to the larger area covered. Coordinates for Malawi used from countries centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest edge of country boundary.",
29.925927,-15.439372,1.5.3.4,,,Smutsia temminckii,skull,Africa,Zambia,Luangwa,81950,50,2.2,"Tag says ""Loangwa R."" and Luangwa District is the closest spelling to this. Contains a large portion of Lower Zambezi National Park. Coordinates for approximate centre on Google Maps and extent to furthest boundary edge.",
32.46335,0.0515,1.8.9.86,1900,1900,,skeleton,Africa,Uganda,Entebbe,5650,50,2.3,Coordinates for place name and extent to marked boundaries on Google Maps. Small town on a peninsula with forest habitats butÂ was also a port and baseÂ used by the British [https://en.wikipedia.org/wiki/Entebbe].,
,,1.8.9.108,,,Phataginus tricuspis,spirit,Africa,Africa,,,,2.1,"No locality information on label but H.H. Johnston (name on label)Â collected 770 mammals fromÂ parts of Africa, according to 'The History of Collections in Natural History Departments of the British Museum, Vol 2' (page 41).",
9.623019,1.593021,1.11.21.35,1901,1900,Phataginus tetradactyla,skin,Africa,Equatorial Guinea,Benito River,795,25,3.1,"Tag says ""Fr. Congo"" although Benito River (also on tag) is in modern day Equatorial Guinea. Tag also says ""25m from sea"" but not clear which side of river. No additional locality information given on skull tag (same reg). Coordinates for approximated centre of river mouth and extent to nearest settlement place nameÂ (Bolondo)Â plus 25 metres on Google Maps.",
-11.791922,8.560283,2.2.14.1,,,Phataginus tetradactyla,skull,Africa,Sierra Leone,Mabura,188720,100,2.1,"Tag says ""Somi, Sierra Leone"" but Somi could not be found. Coordinates for country centre as taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent is to furthest edge of country boundary on Google Maps.",
103.891767,36.519977,2.6.10.63,,,Manis pentadactyla,skin,Asia,China,Gansu,2824100,100,2.1,"Tag on skin says ""Bought in Shanghai"" so is highlyÂ likely to be capturedÂ from China. No additional information on skull tag (same reg)Â Coordinates for country centre as taken from country centroids file [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent is to furthest edge of country boundary on Google Maps.",
101.135589,6.524132,3.2.6.81,1901,1900,Manis javanica,skin,Asia,Thailand,Yala ,36360,25,2.2,"Tag says ""Jalor, Malay Peninsula"" which was found on an old map [http://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/f925aa03-115c-11e3-83d5-0050568939ad]. No additional inforation on skull (same reg). Approximate centre of region guided by the old map for coordinatesÂ and extentÂ (calculated inÂ Google Maps).",
8.339903,4.976002,4.3.27.1,,,Phataginus tetradactyla,skull,Africa,Nigeria,Calabar,7450,25,2.3,"TagÂ says ""Old Calabar"" which occupied the modern city of CalabarÂ [https://en.wikipedia.org/wiki/Akwa_Akpa].Â Coordinates for place name on Google Maps and extent to furthest edge of boundary. Calabar was used as a port for slave trade so possibility specimen could be sourced from outside the area and exported from Calabar.",
